order_id,customer_id,product_id,order_timestamp,order_total,quantity,payment_method,shipping_method,shipping_street,shipping_city,shipping_state,shipping_zip_code,shipping_country,order_status,discount_amount,tax_amount
cf36d58b-4737-4190-96da-1dac72ff5d2a,ce4a2bbd-c241-430b-81a9-e71fde8a774b,571aa876-6c30-4511-b2b9-437a28df6ec4,2025-06-17T12:10:55,17.23,1,Debit Card,Standard Ground,32181 Johnson Course Apt. 389,"New Jamesside,",MT,29394,USA,Returned,1.43,1.28
142c3fe8-60e7-4113-ac1b-8ca1f91e1d4c,a0ee89ae-d453-4d32-8b0d-bb418d5288f1,5c941cf0-dc98-42c1-a2ac-f72f9e574f7a,2025-05-23T08:35:46,318.02,1,Debit Card,Expedited,1161 Abbott Rapids,"Lindsaymouth,",ND,16862,USA,Returned,2.83,23.56
aefcfad8-efc8-4849-b3aa-7efe4458a885,a28defe3-9bf0-4273-9247-6f57a5e5a5ab,3eabedcb-baa8-4dd4-88bd-64072bcfbe01,2025-09-08T08:37:32,92.11,5,NetBanking,One‑Day,34131 Ramirez Roads,"Franciscostad,",IL,88342,USA,Processing,5.41,6.82
e27a984d-6548-41d0-bfcd-9eb1a7cad415,24933b83-7577-40a9-a491-f0b2ea1fca65,beb79919-3f22-4af8-a3be-d01d43cf2fde,2025-05-06T10:13:52,970.47,4,Debit Card,One‑Day,8350 Lydia Valley Suite 641,"New Nancy,",MD,28370,USA,Shipped,288.18,71.89
61b1cd22-6280-4c45-9043-5a1098ae4334,877409a9-77d2-4e02-bf01-cf99988c24c9,dc5c0eed-8da0-465b-b898-97b9405cacec,2025-07-09T12:35:20,189.29,3,Credit Card,Standard Ground,969 Cox Dam Suite 101,"Lake Ernest,",TX,55834,USA,Delivered,70.61,14.02
5715bd6f-a416-4293-84c2-e2e3444ea7c8,287d06ca-6f4c-469a-8b22-d3081c8eaee9,b8db0672-f42d-47cc-80d4-af5974273ca3,2025-06-25T12:42:04,176.95,1,Credit Card,One‑Day,USS Maldonado,FPO,AP,98920,USA,Returned,18.85,13.11
ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,14296c07-f26b-4776-913e-4de2e0c53cb8,2025-08-20T08:38:25,465.93,1,PayPal,Two‑Day,281 Skinner Parkways Apt. 252,"New Mariotown,",DE,48077,USA,Returned,55.27,34.51
3985c3cf-3f76-4e1d-9efa-21977394988f,969b6662-0562-4059-968c-c69b1064005c,38602ab6-96a4-42f2-bae8-cc938dcdcd03,2025-06-18T10:01:39,753.61,2,PayPal,Standard Ground,82278 Joseph Well Suite 383,"Raymondstad,",NV,68340,USA,Processing,9.73,55.82
c8dcd19f-3e35-4128-b900-f7f993829b43,30beb45f-6835-44f2-8eb8-1f9d7914c120,6e595ed3-a8b3-47fa-98d0-752b1825bc54,2025-10-14T03:10:51,180.24,1,PayPal,Expedited,10518 Joshua Oval,"New David,",FM,75348,USA,Shipped,26.27,13.35
134c6c92-ec5b-427c-9fde-4fbf3ff350bf,db20a56e-dc81-4fe7-8eda-8bbb71710434,a6f2f7b8-0cf3-4b58-9910-8be58ce21ea3,2025-09-14T21:30:27,324.01,3,Credit Card,Expedited,0106 Mcbride Coves Apt. 338,"Taylorburgh,",KY,61138,USA,Returned,26.12,24.0
fc3d3348-008d-4127-a104-61e32a25a888,c8b8d9c6-ed30-49cf-83e4-58fc63f2ae24,6c4a37ea-4906-47f2-b47b-6dbac8fe3ccd,2025-10-31T20:34:48,164.39,2,NetBanking,Expedited,Unit 0132 Box 6773,DPO,AA,08186,USA,Shipped,19.55,12.18
acdabacc-1165-4210-9854-3881118a9d29,1eb0e38a-675d-45af-bc36-5296dca02eec,3f07f814-91d6-4f78-a3e9-de99f10c718b,2025-07-05T10:03:44,126.62,1,UPI,Two‑Day,34309 Julie Centers Apt. 978,"North Susan,",CO,24857,USA,Pending,1.14,9.38
50f0fd0a-750c-4b75-8ccc-9bc2a53f8a28,12922f83-ef8c-485b-807a-30f2edd4253b,ff9ab5c2-9f04-4aed-b552-332702627f73,2025-09-21T13:40:03,819.16,2,PayPal,Expedited,169 Donovan Ford,"Johnfurt,",DC,88540,USA,Delivered,155.52,60.68
fbddcf7c-9c96-49ec-8d71-c366b41b3143,8768a84f-a76a-4de6-8e9e-1a11fcbb4e59,8dfa6a56-d12d-4c9a-aaf9-15310200b1f0,2025-06-01T21:46:28,1544.4,4,PayPal,Expedited,83842 Ibarra Gardens,"Justinmouth,",MP,71701,USA,Processing,341.68,114.4
d89a40c0-e87d-4c78-a7c4-21c740497b71,6c6f7633-a260-4723-97a0-df490d01280f,00e85ece-0b49-452d-86d4-83f3d450281c,2025-07-27T08:35:27,1138.75,5,NetBanking,One‑Day,41182 Campbell Fords,"Jamesview,",NY,64533,USA,Shipped,304.55,84.35
6e068097-25e9-4977-8d72-48e2951f58d0,5d59cd2a-4eea-44e7-8ab5-4bde20a04502,f8e1daa7-cbce-4bde-aede-db07e623a689,2025-08-08T23:53:42,1032.45,2,Credit Card,Standard Ground,427 Hoffman Creek,"Lake Rebeccaside,",AZ,48894,USA,Pending,41.39,76.48
bc2cbb0d-dd33-4cc7-ab7f-089acd5f4822,28c13091-444d-410b-bf87-e362cf8d446a,61ee411a-1bac-47a7-b386-f7a4c991603f,2025-07-26T03:21:09,519.7,2,NetBanking,Standard Ground,31586 Sara Freeway Apt. 260,"Lake Sandra,",WY,54465,USA,Delivered,149.98,38.5
54c63cd8-8945-4f27-97fa-2d8dfb2ca025,e08596db-1d87-4966-8710-d430f071d879,94a1875d-2db6-4edb-82de-ffccf86c2ca2,2025-06-22T23:37:09,1113.87,4,NetBanking,Standard Ground,37543 Andrew Fields Suite 541,"Michaelhaven,",MO,89566,USA,Pending,168.48,82.51
504d281f-c953-4b63-ba81-edd9587ef344,82ec9f2d-fbf6-416f-9b30-80d56fb78271,939b462d-e645-4129-a29c-2ae31d9af659,2025-07-10T05:16:38,1565.06,5,Credit Card,Two‑Day,USNV Johnson,FPO,AP,57460,USA,Delivered,434.27,115.93
688c7015-aab9-4e49-8f2d-479681d2c7de,4bb00f20-b27c-4026-a703-b6365380b904,6ba25efe-311c-4eb6-a095-eef68dedf9fb,2025-10-22T05:42:54,354.01,2,PayPal,Expedited,608 Michael Cliff,"Cindyville,",VA,39864,USA,Returned,131.39,26.22
82dc4c8e-36b5-429a-acf5-e81e71316269,f5b78cc7-e6b3-4944-8b32-3e357922bac2,a8aa7158-2b70-4525-bc67-f831cbc84759,2025-09-06T05:39:54,428.63,1,NetBanking,Expedited,299 Sullivan Village Apt. 443,"Floydmouth,",NH,58406,USA,Processing,39.03,31.75
b00805cc-a7f3-4ae9-a5c7-3c443e75c3b4,dc45d539-c03f-4538-a485-5aa1016b6287,c7468f59-1b49-4e15-a2ad-d909c521bf2d,2025-10-03T08:36:25,1038.6,3,NetBanking,Standard Ground,34332 Brandon Mountains Apt. 769,"Lake Heather,",NM,52884,USA,Returned,185.65,76.93
513a7052-986f-4025-8f15-ba58fce68504,714c7df4-e434-4d51-8158-1092f335cba3,e45b712e-b822-4688-90a4-44329cd6c852,2025-07-14T15:33:27,772.99,3,PayPal,Expedited,870 Samantha Crossing,"Andersonmouth,",TN,70117,USA,Pending,24.85,57.26
b1a6b1f1-620e-49d3-bb33-f3d8269cd696,10714d51-36c5-4dac-b4d7-e28e271e3ee2,8ae8905b-54b4-4482-a858-6eba6a34c854,2025-05-21T19:07:07,679.81,2,UPI,Standard Ground,77434 Sims Harbor Suite 143,"Matthewside,",CO,18637,USA,Returned,249.77,50.36
9a6ec2f5-ccc4-4903-8bcf-53a1bc10fa52,382c043f-7cfc-4b79-b875-394ce5d6f6e6,076e2bba-7c53-48bf-af92-f25e45df16b6,2025-08-19T22:12:54,126.95,2,Debit Card,Two‑Day,66909 Woods Knoll,"Karenchester,",ND,98479,USA,Returned,19.55,9.4
56666f9f-53ac-4ab9-b467-2cd9362f5e5c,473bd358-610e-4a64-a130-1617c2dff335,6bebac31-d4f8-4d72-b382-1cfdc083b73a,2025-08-17T21:14:47,1084.45,5,Debit Card,Two‑Day,272 Rebecca Ramp Apt. 162,"Whiteview,",MS,43407,USA,Delivered,68.13,80.33
20500494-3d11-4802-a702-878b9f0fda8d,90604f62-1d48-4071-ab61-a7b1793b4c32,b31022f0-770c-4798-b7cc-863bf2a03459,2025-05-28T15:51:54,607.21,3,Debit Card,Expedited,0805 Debra Tunnel,"Port Anthonybury,",ID,03172,USA,Pending,103.35,44.98
cbd58bf6-1efd-46e9-8e37-14af99b49350,0a8381be-c85a-4a46-90e0-f4a0fbdd3933,a9597663-6daa-4e68-8861-fe1858e25888,2025-08-27T10:16:27,41.63,3,Debit Card,Standard Ground,99124 Beth Inlet Suite 631,"North Heidi,",ME,90188,USA,Pending,7.68,3.08
ef43613c-d4aa-49a3-bed8-c56cda09dfa0,7367c28d-e1b2-44de-8767-d76c162f8a24,91e1aa96-76f7-4255-801f-36bf3e6dd58b,2025-10-19T02:08:09,93.09,1,PayPal,Standard Ground,67165 Zimmerman Mews Apt. 849,"Marshallshire,",KY,42746,USA,Returned,32.14,6.9
7d137018-680b-4c63-b856-d0353dc98290,b0cbc61f-3d85-4e89-8217-14298e200724,7da67785-b63b-4dc3-a559-e46379e13cea,2025-08-17T20:57:25,263.63,2,Debit Card,One‑Day,0752 Lewis Union Suite 549,"Angelahaven,",ID,11722,USA,Processing,41.6,19.53
4e7ed827-455a-4762-b428-a656b3ee4d3b,b8a6171f-1ee3-4dc4-bb04-8a8b405bfdc9,be2d740a-1e9b-43bc-90c7-c006314d3441,2025-05-23T23:40:30,1648.48,4,UPI,Two‑Day,43634 Kennedy Pines,"Ronaldside,",MA,46613,USA,Delivered,92.47,122.11
2067bdac-88bd-43d1-b540-b30e039f3a25,0df56ac6-f96b-448a-8ba6-eab94639447b,f1afdb65-b289-4224-8ac9-778d8da8eee4,2025-09-12T22:03:03,797.14,4,Credit Card,Standard Ground,37498 Hooper Village,"West Jeremy,",HI,40119,USA,Delivered,206.63,59.05
cfa701cd-2631-400b-a6d7-94d30db95301,15ce6a66-4dc8-4a1e-b2f9-e5fa90164161,8edddfcd-1e52-4770-bf89-7142fe716b14,2025-06-11T08:49:09,1257.56,3,Debit Card,One‑Day,09477 Peterson Center Suite 711,"Vasquezshire,",SC,90475,USA,Processing,39.46,93.15
3531968d-c342-4d2b-b295-456e19675f06,a911d192-43bf-4931-b605-bf54a021c0ca,2c7f0b79-3d67-4de9-a834-e4c014c8b3b4,2025-10-21T23:20:40,356.53,4,Credit Card,One‑Day,677 Dalton Meadow,"Ashleyton,",RI,97505,USA,Returned,53.2,26.41
c9af18f8-43b9-4a13-ac85-6f373bc1a987,a9434aa0-96fc-434d-a003-cd28ca8f3653,6cd5e859-32a4-47b2-af04-e57dcdccc33a,2025-10-14T12:06:56,22.71,1,Credit Card,Standard Ground,67974 Jesse Squares,"Jacquelinemouth,",CA,90597,USA,Processing,9.01,1.68
b04d3376-77fc-4703-9fd5-a423706c5c56,f1533ae8-670a-4c5c-b321-bf214dd8eb85,7e695d0d-8a3c-4b5e-801e-f1da45b1ed25,2025-10-20T01:30:27,381.02,2,UPI,Standard Ground,242 Brian Turnpike,"Brookeshire,",PW,38329,USA,Processing,59.54,28.22
7872bdeb-2cd9-4cbb-819a-d58cc35b1c8c,ea83bf00-7135-4221-a6c9-537f84dad06a,95d82980-ff37-419c-ae76-128b473544f9,2025-11-01T01:49:54,23.16,4,UPI,Two‑Day,5940 Jeremy Spring,"Port Emilyview,",OK,05774,USA,Delivered,2.84,1.72
dd6ac7b8-6778-443b-85c5-b37af85e06a1,004b6fab-fcf5-4188-932e-6dcd83bc9478,764414fd-8ae7-49ed-9e8e-de0ba85c6e4a,2025-06-11T00:55:58,1533.96,5,PayPal,Expedited,75655 Mia Isle Suite 746,"South Christopherview,",MD,15695,USA,Pending,242.82,113.63
f920264c-0763-4cd0-9f15-c7b67c16128d,3d42993c-cc9f-4334-9bdf-0377a14923c2,8d03c91e-4f8d-4238-a88b-78b5b5b453ca,2025-07-05T01:26:56,1957.17,5,Credit Card,Standard Ground,597 Wolf Ford,"Andreaport,",NV,92022,USA,Returned,33.76,144.98
bf0d073d-821c-4336-9970-cf60ebff8d15,11df12d7-dd30-4e89-a2f2-35f2e11b868d,dabac50d-ca3d-4859-85ce-099c46b82659,2025-06-04T17:38:03,816.29,4,Credit Card,Standard Ground,31712 Cantu Highway Suite 677,"South Andrea,",MS,25484,USA,Processing,259.82,60.47
9261549d-3d22-4c30-b28f-41defb140bc3,c68a152f-db23-4a8c-bbca-bf85620a60ac,bea4ff31-5174-40f8-8b2c-782a69288e92,2025-06-19T20:04:27,257.97,1,UPI,Standard Ground,44997 Sean Orchard Suite 588,"Gibsonmouth,",VI,25228,USA,Returned,60.68,19.11
56abf2f1-43d8-4870-b81d-baa1c8120a8e,a65bb1f2-65c1-4795-b155-16bc9f8ded97,da330aa1-541c-4fcd-9a0d-4a5f148f8b74,2025-05-21T02:00:54,622.26,2,UPI,Two‑Day,2702 Kane Well Suite 187,"Lake Douglasberg,",CA,62038,USA,Shipped,6.95,46.09
0769165f-e746-4cb9-8ca9-cf07b1aa0f6a,0e5dd462-cbd0-4ef2-930a-37df0bc61066,6e417d47-5ff5-45ea-9bc4-40f14b1a269b,2025-06-25T17:47:53,658.35,2,UPI,Expedited,7809 Jimmy Spur Suite 316,"Port Cynthiaville,",NV,22306,USA,Shipped,63.44,48.77
cdfc6ee0-e61e-4e90-8267-deb3aab612c9,ad77e82f-49a2-4a89-a6b5-a92c771ad655,711533f3-12e8-4d10-a871-17338beddb12,2025-05-19T06:01:12,540.35,4,Credit Card,One‑Day,222 Chelsea Light Apt. 792,"South Dana,",NH,33967,USA,Returned,145.72,40.03
4d57d880-d865-469a-b4f3-310340066ff2,da743152-627b-41a1-bfd6-f23232ffe294,61a11729-3cb9-4350-9b4d-a0fe7bb38605,2025-06-15T13:18:56,2630.47,5,NetBanking,Two‑Day,USNV Fowler,FPO,AA,90981,USA,Processing,54.73,194.85
